text,label
"ठीक है, मैं जा रहा हूँ. ठीक है, कॉलेज के वरिष्ठ वर्ष... एक तालाब मेज पर.",1
"हाँ, तुम ठीक हो?",1
"हाँ, हाँ मुझे यह पता चला है।",1
और मेरा मतलब है-मुझे बहुत मजा आता है।,2
"हं, नहीं।",0
या शुक्रवार को बिना दो पिज़्स!,0
जैनिस?,1
"वैज्ञानिक आदमी डेविड, वह डेविड जिसके साथ मैं प्रेम करता था, वह डेविड जिसने रूस जाना था और मेरे दिल को तोड़ दिया था डेविड!",0
और!,2
"ओह, ठीक है, धन्यवाद, लेकिन, मैं ठीक हूँ, सचमुच.",2
"डेविड, मैं बना रहा हूँ",1
"अच्छी तरह से, क्योंकि तब वे मेरी माँ के लिए उन्हें बनाने के लिए प्रयोग किया जाता था की तरह हो जाएगा, तुम्हें पता है, वह मरने से पहले.",0
"और कभी-कभी, मैं तुम्हें तीसरा चुराना चाहता हूँ, और मैं इस तरह जा रहा हूँ।",1
"नहीं! क्षमा करें, मैं सिर्फ सोचा था कि आप किसी और थे.",1
"ओह. ओह! माम? माफ करें, माम?",1
"नहीं, मैं-मैं कह रहा हूँ मैं उसे पसंद किया।",2
"अरे, हमें नहीं करना होगा...",1
यह गन्दगी है! मैं नहीं जानता था कि मैं इस मूर्ख नींद क्लिनिक में जाने से पहले रात भर जागना था! मैं बहुत थक गया हूँ!,0
"आपको सिर्फ साहसी होना होगा, ठीक है?",1
क्यों हम प्रवाह को उत्तेजित करने के लिए स्तन को massaging करने की कोशिश नहीं करते।,1
इसके बाद नहीं!,0
"अच्छा, मुझे क्षमा है अगर मेरे दोस्त तुम्हारी तरह जटिल नहीं हैं।",0
मुझे लगता है कि मैं एक असली डेट पर जा रहा हूँ!,2
मैं नहीं जानता कि यह सच है या नहीं।,1
"हाँ, यह देखने में दर्द नहीं हो सकता था।",1
हा.,1
"बहुत अच्छा. Uhh, सिर्फ अपने पति के पास रुकने के बारे में कह दो.",1
किस लिंग का?,1
देखो कि अदृश्य दंत चिकित्सकों के साथ समस्या है।,1
लिफ्ट! और स्लाइड!,2
"आप अंदर आ सकते हैं, लेकिन आपके फिल्टर-टाइप छोटे दोस्त बाहर रहना है!",2
"ओह हं, मैं नहीं जानता अगर मैं एक महिला शरीर पहनना चाहता हूँ.",0
ओह. हाँ. हं. मुझे लगता है कि मैं यहाँ रहने के लिए जा रहा हूँ.,0
"हेरो, मैं uh, मैं नहीं जानता-ठीक है, ठीक है।",1
मैं जोआन कोलिन्स हूँ।,0
"Hey, आप लोग! देखो क्या मैं giiiiift दुकान में मिला. उठो! उठो! उठो! उठो!",2
क्यों नहीं? यह कमरे की कीमत में निर्मित है।,1
तीव्र और भयावह।,1
"ठीक है, चलो चलिए! बाय, फीब्स!",2
"मैं जानता हूँ! और मैं सिर्फ एक विवाह से बाहर जा रहा हूँ, मैं मतलब है कि होने के लिए किया गया था के बारे में बात!",0
तुम्हारी माँ ने मुझे बुलाया. तो यह उसकी है?,1
शायद वह मुझे एक गोली या कुछ दे सकता है।,1
"मेरा मतलब है, मैं एक समुद्री घोड़े होते।",1
क्यों? क्योंकि वह गा सकती है और गिटार बजा सकती है और साथ ही दोनो कर सकती है?,1
"ओह, चलो rip!",0
बाइ।,1
आप नहीं जानते कि मैं इस की कितनी जरूरत है।,0
मैं आप से मेरी एक सुविधा करने के लिए पूछ रहा हूँ।,1
"मुझे खेद है, मैं सिर्फ एक टीटी होने के बारे में उल्लास है!",2
"नहीं, नहीं, कैथी.",1
...तुम्हे प्यार करता हूँ।,2
"कृपया, अभी, नहीं, हर बार जब मैं उसे देखता हूँ तो यह लगता है कि यह घाटे पर है? यह मुझे देख रहा है?",0
"तुम्हें पता है, मैं इस बारे में शेख़ी करने के लिए नहीं पसंद करता, लेकिन मैं दे रहा हूँ",1
"अच्छी तरह से आप कपों में देख सकते हैं, एक बार आप $700 मिलता है, आप इसे दोगुना करना है।",1
"ठीक है, आप देख रहे हैं, बात यह है, हम केवल, हम एक तरह से यह ठीक करने के लिए एक shot है।",1
कल 8:30 पर।,1
"""फिब्स, यह नहीं कर सकता है, एक तारीख मिल गया है. आप से बाद में बात. बड़ा पिता."" बड़ा पिता?",0
मैं अभी भी विश्वास नहीं कर सकता कि उन्होंने मेरे कुंजी ले ली. आप मुझे अपने के साथ विश्वास.,0
"हां, fellas,",1
"हम यहाँ कुछ समय के लिए जा रहे हैं, यह लगता है, और हम अभी भी boyfriends और अपने कैरियर को कवर करने के लिए है।",1
"मुझे चिल्लाओ नहीं ठीक है, यह सबसे अधिक मैं सारे सप्ताह तुम देखा है।",0
"ओह-ओह, मैं लगभग इस बच्चे को खो गया!",2
"तो तलाक़, शादी, हमें बहुत कुछ मनाना है।",2
तुम हमेशा कहते थे कि मैं इसे करूंगा।,2
अरे! हम इस में काफी अच्छा है! अरे! हम पूरी तरह से लंच के बारे में भूल गया है!,1
"दीवारें काफी पतली हैं, आदमी!",0
मुझे बैग छोड़ने की जरूरत नहीं है!,0
यह पार्टी कहां है?,1
और...?,1
प्रतीक्षा करो! तुम अपने पैर भूल गए!,1
Hey! कोई अच्छा डाक?,1
Hey! क्या वे क्रैब केक हैं? क्या मैंने तुमसे नहीं कहा था कि सीधे मेरे पास आओ जब अधिक क्रैब केक तैयार थे?,2
नहीं. नहीं. नहीं. वह उस पर रहता है,1
"ठीक है, हाँ. Triple A हमें उठा सकता है.",1
"मुझे अफसोस है, प्यारे, तुम क्या कह रहे थे?",1
"Hey, यह एक बच्चे के लिए प्रतीक्षा करने की उम्मीद करने के लिए असंगत है",1
"देखो, उसने मुझे अपनी रात की दृष्टि के चश्मा और सब कुछ दिया।",2
"ठीक है, मुझे आपको एक बात बतानी है जो मैंने हमारे मित्रता के दौरान कभी स्वीकार नहीं किया है!",0
"हम मध्य रात के आसपास उतरते हैं, तो हम तुम्हें क्यों नहीं उठाते?",1
पूरे आठ दिन।,1
"ओह, प्यारा, मुझे माफ़ है।",0
हाँ. हाँ.,1
उन्हें यह विशेष रूप से बनाया गया था!,1
ये गंभीर हैं।,1
ओह...,1
"ठीक है, तो फिर आप ठीक है।",1
"नहीं! नहीं! नहीं! नहीं! नहीं! मैं-मैं-मैं-मैं करने की जरूरत है, मुझे बिछौने की जरूरत है।",1
देखो!,1
"""ओह, मेरे, भगवान्।""",1
"ठीक है, क्षमा करें.",1
"चिड़चिड़ा बिल्ली, चिड़चिड़ा बिल्ली, क्या वे तुम्हें खिलाते हैं? चिड़चिड़ा बिल्ली, चिड़चिड़ा बिल्ली, यह आपका दोष नहीं है.",1
"यह तुम्हारी बेटी का एक चित्र है, यह नहीं है, अच्छी तरह से वह सुंदर है।",2
"चंडलर, आसान, आसान. अपने खुश place में जाओ. ला ला ला ला ला ला.",1
"अच्छी तरह से, आप क्या था?",1
"चलो, वह तुम्हारी माँ है!",0
"हम्म, चलो, तुम सिर्फ़ उससे कहा था कि तुम...",1
"तो, wow, यह बहुत विस्मयकारी है, हू।",2
एस्टेले ने कहा कि मैं इसे नहीं पाया।,0
"तो वैसे भी, उम्, उसका सिर Broadway के नीचे फ्लिप करने की तरह है, ठीक है, और मैं बस सोच रहा हूँ... कैसे अनुचित यह है.",2
"अच्छा है, लेकिन मैं सिर्फ बहुत अधिक आनंद ले रहा हूँ।",2
"यह फ्रांस से है... यूरोप में... पश्चिमी यूरोप. आप जानते हैं हं, कुछ साल पहले मैं वास्तव में पश्चिमी यूरोप में बैक पैकिंग कर रहा था.",1
अपने फोन बिल का भुगतान किया है?,1
"ओह, भगवान्।",1
"ठीक है, अच्छा है, तो वहाँ तुम जाओ. विन्स के साथ जाओ.",2
"आदमी, दो सप्ताह का नरक, हू? क्या पता है, हालांकि? मुझे लगता है कि मैं कुछ सीखा है.",2
"पता है क्या, मैं सोचता हूँ कि यह एक बार वह गलत हो सकता है।",1
यह-यह असली सवाल है।,1
"हाँ, क्योंकि अन्यथा किसी को क्या वे वास्तव में आदेश प्राप्त हो सकता है।",1
"अरे, अरे, अरे, उसके सामान में नहीं था.",1
"क्षमा करें, हं, मैं एक सेकंड के लिए यहाँ आप से बात कर सकता हूँ?",0
"तो, तुम एक करोड़पति की तरह हो?",1
"ठीक है, वास्तव में नहीं।",1
हम सड़क पर छह घंटे हैं और आप पांच और आधा समय तक सो रहे हैं!,0
"लेकिन, Liam मेरे टीम में है.",2
"वे टूट नहीं रहे हैं, उन्हें देखो।",1
"हं, आप जानते हैं कि कैसे एक दिन आप कैसे बात कर रहे थे कि कैसे आप लंदन जाने के लिए नहीं मिल गया और कैसे आप एक तरह से बाहर महसूस किया गया था?",1
नमस्ते! एक विवाह की कृपा करें!,2
तो अब मुझे जाना है तो वह सोचेगा कि मैं उसे देखने के लिए पूरी तरह से ठीक हूँ!,2
तुम्हें क्या पता है? हमें आगे बढ़ने की जरूरत है.,0
"मैं अपने परिचय के द्वारा uh, से शुरू करने के लिए मुझे अनुमति दें, मैं प्रोफेसर गेलर हूँ।",1
क्योंकि हर बार मैं उस आवरण पर देखता हूँ मैं जैसे हूँ,1
"शानदार मनोरंजन केंद्र. अच्छी, अच्छी इटालियन शिल्पकला.",1
"ओह, तुम किसी का नाम कह दो, फिर वे पलट जाते हैं।",1
यह सिर्फ बैक्टीन है. यह दुख नहीं होगा.,1
"ठीक है, क्षमा करें, कि मैं तारीख़ में क्या करता हूँ।",1
क्या! यह 6 बजे है!,1
"और रचेल के साथ कोई समस्या नहीं होना चाहिए. एकमात्र समस्या हो सकता है एक थोड़ा अधिक दोस्ती, अगर आप जानते हैं कि मैं क्या मतलब है.",1
ओह हाँ! ओह मेरे भगवान! यह है,1
निजी खरीदारी? यह क्या है? जैसे जहां आप snooty धनी लोगों के साथ चारों ओर चलते हैं और उन्हें क्या खरीदने के लिए कहते हैं?,1
मैं उस आदमी को भी नहीं जानता. ठीक है? हम इतना करीब नहीं हैं. मैं वर्षों में उसे नहीं देखा है.,0
"तो फिर, आप जेसन को फेंकने के लिए जा रहे हैं?",1
"मैं सिर्फ कहने के लिए बुला रहा हूँ कि एम, सब कुछ ठीक है और मैं वास्तव में तुम और आपके लिए खुश हूँ",1
उसने अभी फोन किया और कहा कि वह देर से काम कर रही है!,0
मैं बस तेजी से गाना आने को नहीं देखा था।,1
"नहीं-नहीं, राहेल, यह नहीं समझ! वह हमें नहीं देख सकता!",0
निश्चित है।,1
मुझे लगता है कि मैं यहाँ एक डोनट छोड़ दिया है।,1
क्या तुम्हें पता था कि वह उसमें था?,1
ठीक है मैं एक होगा।,1
"तुम्हें पता है, मैं आप से इस पूरे, छोटे, नए यूरोपीय बात के बारे में बात करने का मतलब है, आप जा रहे हैं, और मैं सिर्फ आपको बताने की जरूरत है कि यह मुझे बहुत असुविधा देता है और मैं बस-समझो-इसे रोकें!",0
"ओह, मैं, uh-मैं अरूबा गया।",1
"हाँ, मैं भी।",1
"मलपेटी में समस्या का गंध? अपने बछड़े को न बदलें, अपने बछड़े के मलपेटी को बदलें।",1
लेकिन मुझे लगता है कि यह कोई गंभीर बात नहीं है.,1
ट्रांजिट प्राधिकरण?,1
क्या आप जानते हैं?,1
"""उष्मा उपकरण.""",1
"ठीक है, मैं जा रहा हूँ!",0
"क्षमा करें मैं आह, मैं वहाँ आप को डराया था।",0
"मैं यहोशू हूँ, मैं रेचेल उठाने के लिए यहाँ हूँ।",1
हाय!,0
Joey. Joey. Joey. Joey! Joey!!,0
"मैं तुम्हें जानना चाहता हूँ, यह मैं नहीं था जिसने तुम्हें अंदर भेजा.",1
क्या! यह है!,1
अगर आप जानते हैं कि मैं एक विधवा हूँ.,0
"जोय, मैं इस बात को सहन नहीं कर सकता है कि इस बच्चे के साथ आप मेरे खिलाफ पागल है.",0
मैं जानता हूँ! मैं जानता हूँ.,1
"Uh, uh.",1
"ओह, मुझे बहुत अफसोस है।",0
"देखो, मैं जानता हूं कि जेनिन के बाहर जाने के बाद से कुछ मुश्किल हो गया है.",0
"और, uh, मैं नहीं जानता अगर आप में से कोई है कि, लेकिन मैं वास्तव में टेप की एक प्रति चाहता हूँ।",1
व्यंग्य?,1
"हाँ, अच्छी तरह से मिसी, आप बेहतर है कि सूची laminated है खुश होना है।",0
मैं कहना चाहूंगा कि तुम मुझसे बहुत बड़ा आदमी हो।,1
इतना ही है!,0
"ओह, मैंने कहा होगा कि तुम चले जाने के बाद।",1
मैं नहीं जानता! शायद वह पागल है!,0
आप एक बहुत बड़ा फोर्क होने के लिए नहीं होता?,1
Joey!,0
"और ओह, लियम, लियम के खराब घुटनों के पास है. आप उसे सही मारा और वह एक लैम्प की तरह नीचे जा जाएगा.",1
"ठीक है-ठीक है, मैं इसे मिला. मैं इसे मिला.",1
"ठीक है, आप लोग. आप लोग मुझे लगता है कि मैं यहाँ क्या हो रहा है पता है. ठीक है, आप लोग",1
"क्या? एक मिनट रुको, मैंने नहीं भुगतान किया, मैंने सोचा था कि आपने भुगतान किया!",1
"जब हम योजना बनाते हैं, मैं आशा करता हूँ कि आप प्रकट होंगे।",0
"ओह भगवान, यह इतना nerve wracking है! कैसे-कौन आप यह करते हैं?",1
"और कौन जानता है कि भविष्य में विज्ञान के साथ क्या होगा, लेकिन चंडलर, क्या होगा अगर मैं एक असफल, नियमित आकार के आदमी मरूँगा?",0
"पता है, उनमें से एक पहले कभी एक बेलौक पार्टी में नहीं गया था।",2
ओह-ह-ह-ह! तुम मेरे लिए middle नामकरण के लिए क्या कर रहे हैं! मैं तुम्हें एक नोट छोड़ दिया!,1
Hey! मैं आपके विवाह के लिए क्या मिला है अनुमान लगाओ!,2
नहीं. क्षमा आदमी.,0
और काम से आने वाले लोगों को बहुत खुशी हुई।,2
यह ठीक था।,1
लेकिन तुम उन्हें अब खाओ क्योंकि वे वाष्प से गर्म हैं।,2
"मेरा मतलब है, पिछले साल एलिजाबेथ अब-अब यह बच्चा।",0
हम क्या कर रहे हैं? हम क्या कर रहे हैं?,0
दुखद अव्यवस्था?,1
श्री Bowmont यहाँ है!!!,2
"हाँ, लेकिन, वहाँ कोई suds नहीं थे।",1
ओह चलो!,0
"देखो, मैं कौन पाया!",1
वहाँ एक रिसेट बटन है?!,1
यह क्या है?,1
"ओह. देखो, सिर्फ दोस्त, मैं आप की गड़बड़ी नहीं करेंगे. मैं वायदा करता हूँ.",1
शुक्राणु,1
क्या तुम मुझसे शादी करोगे?,0
"हा, हा, हा.",2
"नहीं, यह नहीं है।",1
"Hey uh, मैं कल्पना करने के लिए मतलब नहीं है कि लेकिन मैं कल रात नृत्य फ़ाइनल के लिए इन दो टिकटों के पास है अगर आप जाना चाहते हैं?",0
"प्रतीक्षा करो, प्रतीक्षा करो, प्रतीक्षा करो. तुम उसे चाहते हैं, मैं उसे चाहता हूँ. वह तुम्हें पसंद करता है.",1
वह पूरी तरह मेरी दयालुता में थी।,2
"ओह, मनी, आप इतना मूर्ख हैं. ओह, हम दोनों इतना मूर्ख हैं.",0
"ठीक है, मैं आप लोगों को बाद में देख लूंगा।",1
"खैर, ओह, मार्क, मैं गलत कारणों के लिए यह कर रहा हूँ, तुम्हें पता है?",0
"ठीक है, यह है, बेन।",1
"उम्-अम्, हाँ सही!",2
"ओह, बहुत जल्दी, बहुत चंमुन. यह बात ध्यान में रखिए, मैं इस बार आपको दूर नहीं छोड़ रहा हूँ.",0
"क्या आप बड़े होगे? मैं सेक्सी चीज़ों के बारे में बात नहीं कर रहा हूँ, लेकिन, जैसे, जब मैं नांगे खाना बना रहा हूँ.",0
"हाँ, यह वास्तव में मुझे शांत करता है।",1
क्या आपने पिछले साढ़े घंटे में एक कार को देखा है?,0
और अपने स्तन! हं!,1
"मैंने एक बार इस फिल्म को देखा था जिसमें एक दरवाजा था और कोई नहीं जानता था कि उसके पीछे क्या है, और जब वे अंत में इसे खोल दिया था तो लाखों और लाखों कीड़े बाहर निकले और वे मानव मांस पर पक रहे थे।",0
तो चलो चलो।,1
मेरा मतलब है.,1
"ओह नहीं, मुझे लगता है कि मैं घर जाने के लिए जा रहा हूँ और दस कंडी बार खाने के लिए जा रहा हूँ।",0
"जेनिसCity name (optional, probably does not need a translation)",1
"जोय, कृपया!",0
"ओह भगवान्, लिली, हाँ. निश्चित रूप से मैं लिली याद है. मैं... तो आप होनी चाहिए?",1
मैं और चंडलर?,1
"ओह, मैं जीता हूँ! वह है",2
"हाँ, 1 से 10 तक के पैमाने पर, 10 सबसे बदबूदार व्यक्ति है, तुम निश्चित रूप से 19 हो.",0
"ओह, आप अमरीकी लोग हमेशा फ्रांसीसी भाषा को काटते हैं।",1
"आप अभी जाना चाहते हैं? 'क्योंकि मैं तुम्हें अभी ले जाऊँगा, दोस्त! आप जाना चाहते हैं?",0
"ओह! अब देखो, सिर्फ बाहर बात blurtin नहीं हो. मैं चाहता हूँ कि आप वास्तव में अपने उत्तरों के बारे में सोचने के लिए. ठीक है?",2
"आह, तुमको देखो, तुम बहुत अच्छे लगते हो।",2
"ठीक है, मुझे लगता है कि मुझे कुछ खरीदारी करने की जरूरत है।",1
ओह हाँ? आप क्या करने जा रहे हैं?,0
"अब आप सिर्फ एक थोड़ा और के माध्यम से प्राप्त करने के लिए करने के लिए है, ठीक है?",1
"ओह! ठीक है. हं, शायद यह इसलिए है कि मैं उसे एक निमंत्रण नहीं भेजा था।",1
"अच्छा, मैं-मैं उसे एक और मौका देना चाहता हूँ, तुम्हें पता है?",1
मैं जानता हूँ! मेरी दादी इसे देखेगा!,2
"एक हम्मर के बारे में क्या होगा, या एक छोटा तलवार?",1
"तो, क्या आपने अभी तक, आप लोगों से शादी करने के लिए किसी को पाया है?",1
तैयार? कुश्ती!,2
उस पर पागल हो जाओ!,0
"नहीं, यह मेरा लाल जूता है।",1
"ओह, हम बिस्तर पर जाने से पहले क्रॉसवर्ड समाप्त करना चाहते थे. अरे, आप लाल के लिए एक छह अक्षर शब्द जानते हैं?",1
"अब Bing इतना अजीब नहीं लगता है, क्या है?",1
"मैं? मैं ठीक हूँ, ठीक है. मुझे खुशी है कि आप यहाँ हैं.... आपके बालों के साथ क्या है?",0
Hey Gunther. Hi. मैं मतलब है कि आप एक तारीख के ऊपर ध्वनि वाले आदमी के साथ बाहर जा रहे हैं?,1
"अच्छी तरह से, उससे बाहर आ जाओ।",0
"ओह... माइक की बहन ने अभी मुझे एक पार्टी में आज रात आमंत्रित किया है, वह वहाँ जा रहा है.",0
धन्यवाद.,0
एक नाटकीय आलोचक बनो!,2
"मैं, मैं आप अंतरिक्ष शिविर में नहीं जाने के लिए नहीं मिल गया है, मुझे अफसोस है, और मैं आशा करता हूँ कि शायद किसी तरह से, यह इसे पूरा करने के लिए कर सकता है।",0
"यह दर्द की कीमत है. आप क्या जानते हैं, आप क्या जानते हैं? यह नहीं है.",0
"मैं सिर्फ ऐसा महसूस करता हूँ, उह......",1
हाँ! और बहुत कुछ है!,2
नेस्टली टुलूस,1
और एक सहायक।,1
ओह!,2
जैसे आप विश्वास नहीं करेंगे। वा! यह एक महान जगह है।,1
"ठीक है, क्योंकि मैं जानता हूँ कि यह मेरा पिता है।",0
"आप लोग स्कॉच करेंगे, आप नहीं?",1
"तो, हम सड़क पर चल रहे हैं और मैं तुम की ओर मुड़ता हूँ और मैं कहता हूँ, “हें, हम पूरी तरह से नूड नूड्स में बाहर hang out करने के लिए जाओ,” याद है?",1
और क्या तुमने किया?,0
यह उचित लगता है।,1
"हाँ, मैं ऐसा नहीं लगता जो।",1
"हाँ हं, वे वालेट कहलाते हैं।",1
"ओह, मेरा मतलब है कि वह शादी में उस के लिए प्रतीक्षा करने के लिए होगा और लोग, ""ओह उस गरीब लड़की से हिस्सकार कर रहे होंगे।""",1
पैसा गलत हाथ में था।,1
"तो ओह, तुम्हारा नाम क्या है?",1
"लेकिन मैं वास्तव में मुझे यह कर सकता है लगता है, मुझे बस कुछ मदद की जरूरत है।",0
हॉल में।,1
"अच्छा, मुझे लगता है कि यह काम करने के लिए एक अच्छा स्थान है!",2
तुलसी स्वर्ग है!,2
वाहे बहुत विशेष है।,1
तो क्या? मुझे मार डालो?,0
ओह यह पूर्ण था! मेरा मतलब यह सचमुच लगता था कि वह फिर से मेरे दोस्त था।,2
"तुम्हें पता है अगर हम कभी भी युद्ध में जा रहे हैं और आप पकड़े जाते हैं, आप एक के लिए हैं",1
"जोय, अगर मैं पहले जा रहा हूँ, मैं अपने कुंजियाँ ढूंढना चाहता हूँ।",1
"हालांकि, मुझे सुबह की बीमारी का एक संकेत है, और मैं कमर पहन रहा हूँ जो लगभग...... वहाँ जाता है.",1
"यह सिर्फ बदल गया है, सब कुछ।",0
